"Periodo";"Municipios";"Sexo";"Edad";"Valor"
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";3536
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";3208
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2454
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1545
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";764
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"De 90 a 94 años";294
"1 de enero de 2014";"03133 - Torrevieja";"Mujeres";"Total";46053
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"95 y más años";66
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3551
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";4171
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";3756
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";4084
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";4879
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";6135
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";7378
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";7350
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";6755
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";4296
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";6222
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";5231
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";5241
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";6237
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";5575
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4360
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";2557
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1030
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"De 90 a 94 años";320
"1 de enero de 2015";"03133 - Torrevieja";"Ambos sexos";"Total";89193
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"95 y más años";18
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";1912
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";2183
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";1925
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";2128
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2474
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";3103
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";3919
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";3901
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";3544
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";2186
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";3157
