Estación;Fecha Toma;Cod. Parámetro;Nom. Parámetro;Unidades;Valor numérico;Valor texto;Coord. X;Coord. Y;Cod Masa;Nombre Masa;Municipio;Provincia;UH Geo;UH Geo Nombre;Acuifero;Profundidad;Nombre C.A
CA0748001;16/01/2019;ISOPROPB;Isopropilbenceno (cumeno);µg/L;0;< 0,5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;ISOPROTURON;Isoproturón;µg/L;0;< 0,050;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;K;POTASIO;mg/L K;130;13;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;LIND;GAMMA-HCH (LINDANO);µg/L;0;< 0,00025;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;MCB;Clorobenceno (monoclorobenceno);µg/L;0;< 0,5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;METOLACLORO;Metolacloro;µg/L;0;< 0,01000;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;METOXICLORO;Metoxicloro;µg/L;0;< 0,00025;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;METRIBUZINA;METRIBUZINA;µg/L;0;< 0,050;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;MG;MAGNESIO;mg/L Mg;300;30;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
CA0748001;16/01/2019;MN;MANGANESO;µg/L Mn;0;< 5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana
