Playa;Fecha;E_Coli (UFC/100 mL);Enterococo (NMP/100 mL);Estado
PLAYA DEL CURA;2023-06-06;1.0;1.0;Zona Apta para el baño
PLAYA DEL CURA;2023-05-18;17.0;20.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-09-09;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-09-02;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-08-26;21.0;20.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-08-19;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-08-12;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-08-05;6.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-07-29;1.0;30.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-07-22;11.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-07-15;13.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-07-08;7.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-07-01;9.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-06-20;7.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-06-10;9.0;9.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2025-05-27;63.0;9.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-09-03;2.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-08-27;2.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-08-20;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-08-13;19.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-08-06;9.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-07-30;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-07-23;5.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-07-16;1.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-07-09;2.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-07-02;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-06-26;2.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-06-18;9.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-06-11;10.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-06-04;8.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2024-05-27;5.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-09-12;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-09-05;29.0;150.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-08-29;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-08-22;79.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-08-14;4.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-08-08;2.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-08-01;19.0;20.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-07-25;2.0;41.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-07-18;2.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-07-11;2.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-07-05;13.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-06-27;1.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-06-21;4.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-06-13;19.0;1.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-06-06;3.0;10.0;Zona Apta para el baño
PLAYA LOS NAUFRAGOS;2023-05-18;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-09-09;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-09-02;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-08-26;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-08-19;2.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-08-12;1.0;10.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-08-05;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-07-29;1.0;10.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-07-22;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-07-15;1.0;10.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-07-08;2.0;20.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-07-01;5.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-06-20;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-06-10;9.0;9.0;Zona Apta para el baño
CALA DE LAS PITERAS;2025-05-27;9.0;9.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-09-03;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-08-27;1.0;30.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-08-20;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-08-13;8.0;10.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-08-06;1.0;10.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-07-30;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-07-23;1.0;1.0;Zona Apta para el baño
CALA DE LAS PITERAS;2024-07-16;2.0;10.0;Zona Apta para el baño
