Estacion;Fecha Toma;Cod. Parametro;Nom. Parametro;Unidades;Valor;Valor texto;Coord. X;Coord. Y;Cod Masa;Nombre Masa;Municipio;Provincia;UH Geo;UH Geo Nombre;Acuifero;Profundidad;Nombre C.A;Mes
CA0748001;2019-01-16;O2 DTO;Oxigeno disuelto de campo (medida in situ);mg/L O2;557;5,57;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;PAHEST;Estireno (etenilbenceno);µg/L;0;< 0,5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;PB;PLOMO;µg/L Pb;0;< 2;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;PER;Tetracloroetileno (PER, Percloroetileno);µg/L;0;< 0,5;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;PHSITU;pH de campo (medida in situ);udpH;83;8,3 (16ºC);705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;PLAGUT;Plaguicidas Totales (OCPs + OPPs);µg/L;0;0;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;PO4;Fosfatos;mg/L PO4;0;< 0,20;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;PTOTAL;FOSFORO TOTAL;mg/L P;0;< 0,050;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;QUI;Quinoxifeno;µg/L;0;< 0,00200;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
CA0748001;2019-01-16;SATINSI;Porcentaje de saturación de oxígeno disuelto de campo (medido in situ);% O2;701;70,1;705332;4207772;70042;TERCIARIO DE TORREVIEJA;Torrevieja;ALICANTE;748;TERCIARIO DE TORREVIEJA;TERCIARIO DE TORREVIEJA;320;Comunidad Valenciana;1
