Tipo de destino;Concepto turístico;Tipo de dato;Periodo;Total
Dentro de la provincia;Gasto medio por persona;Valor absoluto;2018;72,30
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2025;38,12
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2024;36,90
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2023;36,84
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2022;33,33
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2021;28,59
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2020;24,00
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2019;28,34
Dentro de la provincia;Gasto medio diario por persona;Valor absoluto;2018;26,90
A otra Comunidad Autónoma;Viajes;Valor absoluto;2025;82.165.379
A otra Comunidad Autónoma;Viajes;Valor absoluto;2024;82.940.366
A otra Comunidad Autónoma;Viajes;Valor absoluto;2023;85.273.832
A otra Comunidad Autónoma;Viajes;Valor absoluto;2022;76.194.865
A otra Comunidad Autónoma;Viajes;Valor absoluto;2021;58.528.956
A otra Comunidad Autónoma;Viajes;Valor absoluto;2020;38.955.673
A otra Comunidad Autónoma;Viajes;Valor absoluto;2019;83.075.463
A otra Comunidad Autónoma;Viajes;Valor absoluto;2018;83.726.593
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2025;4,70
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2024;4,70
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2023;4,73
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2022;4,76
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2021;5,31
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2020;6,15
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2019;4,63
A otra Comunidad Autónoma;Duración media de los viajes;Valor absoluto;2018;4,57
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2025;385.829.059
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2024;389.825.433
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2023;403.155.366
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2022;362.795.286
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2021;310.685.588
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2020;239.704.583
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2019;384.740.039
A otra Comunidad Autónoma;Pernoctaciones;Valor absoluto;2018;382.722.163
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2025;29.304.831,29
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2024;28.936.017,48
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2023;28.425.334,78
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2022;24.920.854,53
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2021;18.078.795,37
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2020;11.034.452,81
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2019;22.462.105,74
A otra Comunidad Autónoma;Gasto total;Valor absoluto;2018;21.788.081,18
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2025;356,66
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2024;348,88
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2023;333,34
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2022;327,07
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2021;308,89
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2020;283,26
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2019;270,38
A otra Comunidad Autónoma;Gasto medio por persona;Valor absoluto;2018;260,23
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2025;75,95
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2024;74,23
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2023;70,51
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2022;68,69
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2021;58,19
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2020;46,03
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2019;58,38
A otra Comunidad Autónoma;Gasto medio diario por persona;Valor absoluto;2018;56,93
