Motivo del viaje;Gastos y duración media de los viajes;Tipo de dato;Periodo;Total
Total;Gasto total;Dato base;2026M02;7.606,44
Total;Gasto total;Dato base;2026M01;7.804,61
Total;Gasto total;Dato base;2025M12;7.993,41
Total;Gasto total;Dato base;2025M11;8.087,84
Total;Gasto total;Dato base;2025M10;12.803,00
Total;Gasto total;Dato base;2025M09;13.404,59
Total;Gasto total;Dato base;2025M08;16.341,58
Total;Gasto total;Dato base;2025M07;16.432,61
Total;Gasto total;Dato base;2025M06;13.050,58
Total;Gasto total;Dato base;2025M05;12.226,41
Total;Gasto total;Dato base;2025M04;10.875,75
Total;Gasto total;Dato base;2025M03;9.112,01
Total;Gasto total;Dato base;2025M02;7.272,63
Total;Gasto total;Dato base;2025M01;7.142,91
Total;Gasto total;Dato base;2024M12;7.590,34
Total;Gasto total;Dato base;2024M11;7.707,67
Total;Gasto total;Dato base;2024M10;11.898,70
Total;Gasto total;Dato base;2024M09;12.613,05
Total;Gasto total;Dato base;2024M08;15.364,42
Total;Gasto total;Dato base;2024M07;15.513,29
Total;Gasto total;Dato base;2024M06;12.356,78
Total;Gasto total;Dato base;2024M05;11.686,91
Total;Gasto total;Dato base;2024M04;9.488,10
Total;Gasto total;Dato base;2024M03;8.631,35
Total;Gasto total;Dato base;2024M02;6.746,32
Total;Gasto total;Dato base;2024M01;6.546,30
Total;Gasto total;Dato base;2023M12;7.090,50
Total;Gasto total;Dato base;2023M11;6.644,47
Total;Gasto total;Dato base;2023M10;10.302,07
Total;Gasto total;Dato base;2023M09;11.193,59
Total;Gasto total;Dato base;2023M08;13.599,39
Total;Gasto total;Dato base;2023M07;13.880,83
Total;Gasto total;Dato base;2023M06;10.607,99
Total;Gasto total;Dato base;2023M05;9.766,97
Total;Gasto total;Dato base;2023M04;8.454,47
Total;Gasto total;Dato base;2023M03;6.668,07
Total;Gasto total;Dato base;2023M02;5.364,13
Total;Gasto total;Dato base;2023M01;5.216,94
Total;Gasto total;Dato base;2022M12;5.238,80
Total;Gasto total;Dato base;2022M11;5.381,97
Total;Gasto total;Dato base;2022M10;8.311,20
Total;Gasto total;Dato base;2022M09;9.147,69
Total;Gasto total;Dato base;2022M08;11.281,82
Total;Gasto total;Dato base;2022M07;11.902,10
Total;Gasto total;Dato base;2022M06;9.025,67
Total;Gasto total;Dato base;2022M05;8.046,91
Total;Gasto total;Dato base;2022M04;6.910,11
Total;Gasto total;Dato base;2022M03;5.077,45
Total;Gasto total;Dato base;2022M02;3.774,69
Total;Gasto total;Dato base;2022M01;3.039,78
Total;Gasto total;Dato base;2021M12;3.536,59
Total;Gasto total;Dato base;2021M11;3.761,50
Total;Gasto total;Dato base;2021M10;5.606,29
Total;Gasto total;Dato base;2021M09;5.051,20
Total;Gasto total;Dato base;2021M08;5.907,30
Total;Gasto total;Dato base;2021M07;5.229,47
Total;Gasto total;Dato base;2021M06;2.421,69
Total;Gasto total;Dato base;2021M05;1.395,78
Total;Gasto total;Dato base;2021M04;668,42
Total;Gasto total;Dato base;2021M03;543,89
Total;Gasto total;Dato base;2021M02;323,82
Total;Gasto total;Dato base;2021M01;457,43
Total;Gasto total;Dato base;2020M12;696,81
Total;Gasto total;Dato base;2020M11;481,98
Total;Gasto total;Dato base;2020M10;864,49
Total;Gasto total;Dato base;2020M09;964,49
Total;Gasto total;Dato base;2020M08;2.456,85
Total;Gasto total;Dato base;2020M07;2.457,94
Total;Gasto total;Dato base;2020M06;133,89
Total;Gasto total;Dato base;2020M05;0,00
Total;Gasto total;Dato base;2020M04;0,00
Total;Gasto total;Dato base;2020M03;2.173,73
Total;Gasto total;Dato base;2020M02;4.789,29
Total;Gasto total;Dato base;2020M01;4.767,31
Total;Gasto total;Dato base;2019M12;5.010,84
Total;Gasto total;Dato base;2019M11;5.062,63
Total;Gasto total;Dato base;2019M10;8.322,55
Total;Gasto total;Dato base;2019M09;9.617,21
Total;Gasto total;Dato base;2019M08;11.704,76
Total;Gasto total;Dato base;2019M07;11.941,51
Total;Gasto total;Dato base;2019M06;9.686,12
Total;Gasto total;Dato base;2019M05;8.137,84
Total;Gasto total;Dato base;2019M04;7.056,36
Total;Gasto total;Dato base;2019M03;6.034,87
Total;Gasto total;Dato base;2019M02;4.658,61
Total;Gasto total;Dato base;2019M01;4.678,67
Total;Gasto total;Dato base;2018M12;5.009,52
Total;Gasto total;Dato base;2018M11;4.888,55
Total;Gasto total;Dato base;2018M10;8.164,58
Total;Gasto total;Dato base;2018M09;9.545,81
Total;Gasto total;Dato base;2018M08;11.459,69
Total;Gasto total;Dato base;2018M07;11.748,10
Total;Gasto total;Dato base;2018M06;9.370,81
Total;Gasto total;Dato base;2018M05;8.155,06
Total;Gasto total;Dato base;2018M04;6.621,53
Total;Gasto total;Dato base;2018M03;5.726,73
Total;Gasto total;Dato base;2018M02;4.535,94
Total;Gasto total;Dato base;2018M01;4.524,43
Total;Gasto medio por persona;Dato base;2026M02;1.366
Total;Gasto medio por persona;Dato base;2026M01;1.522
Total;Gasto medio por persona;Dato base;2025M12;1.515
Total;Gasto medio por persona;Dato base;2025M11;1.401
Total;Gasto medio por persona;Dato base;2025M10;1.383
Total;Gasto medio por persona;Dato base;2025M09;1.379
Total;Gasto medio por persona;Dato base;2025M08;1.456
Total;Gasto medio por persona;Dato base;2025M07;1.490
Total;Gasto medio por persona;Dato base;2025M06;1.378
Total;Gasto medio por persona;Dato base;2025M05;1.305
Total;Gasto medio por persona;Dato base;2025M04;1.264
Total;Gasto medio por persona;Dato base;2025M03;1.382
Total;Gasto medio por persona;Dato base;2025M02;1.343
Total;Gasto medio por persona;Dato base;2025M01;1.410
Total;Gasto medio por persona;Dato base;2024M12;1.442
Total;Gasto medio por persona;Dato base;2024M11;1.359
Total;Gasto medio por persona;Dato base;2024M10;1.328
Total;Gasto medio por persona;Dato base;2024M09;1.314
Total;Gasto medio por persona;Dato base;2024M08;1.406
Total;Gasto medio por persona;Dato base;2024M07;1.429
Total;Gasto medio por persona;Dato base;2024M06;1.329
Total;Gasto medio por persona;Dato base;2024M05;1.263
Total;Gasto medio por persona;Dato base;2024M04;1.219
Total;Gasto medio por persona;Dato base;2024M03;1.359
Total;Gasto medio por persona;Dato base;2024M02;1.346
Total;Gasto medio por persona;Dato base;2024M01;1.371
Total;Gasto medio por persona;Dato base;2023M12;1.361
Total;Gasto medio por persona;Dato base;2023M11;1.294
Total;Gasto medio por persona;Dato base;2023M10;1.258
Total;Gasto medio por persona;Dato base;2023M09;1.273
Total;Gasto medio por persona;Dato base;2023M08;1.335
Total;Gasto medio por persona;Dato base;2023M07;1.372
Total;Gasto medio por persona;Dato base;2023M06;1.277
Total;Gasto medio por persona;Dato base;2023M05;1.177
Total;Gasto medio por persona;Dato base;2023M04;1.170
Total;Gasto medio por persona;Dato base;2023M03;1.271
Total;Gasto medio por persona;Dato base;2023M02;1.242
Total;Gasto medio por persona;Dato base;2023M01;1.262
Total;Gasto medio por persona;Dato base;2022M12;1.269
Total;Gasto medio por persona;Dato base;2022M11;1.242
Total;Gasto medio por persona;Dato base;2022M10;1.158
Total;Gasto medio por persona;Dato base;2022M09;1.178
Total;Gasto medio por persona;Dato base;2022M08;1.275
Total;Gasto medio por persona;Dato base;2022M07;1.309
Total;Gasto medio por persona;Dato base;2022M06;1.204
Total;Gasto medio por persona;Dato base;2022M05;1.151
Total;Gasto medio por persona;Dato base;2022M04;1.132
Total;Gasto medio por persona;Dato base;2022M03;1.257
Total;Gasto medio por persona;Dato base;2022M02;1.187
Total;Gasto medio por persona;Dato base;2022M01;1.215
Total;Gasto medio por persona;Dato base;2021M12;1.200
Total;Gasto medio por persona;Dato base;2021M11;1.119
Total;Gasto medio por persona;Dato base;2021M10;1.089
Total;Gasto medio por persona;Dato base;2021M09;1.074
Total;Gasto medio por persona;Dato base;2021M08;1.137
Total;Gasto medio por persona;Dato base;2021M07;1.189
Total;Gasto medio por persona;Dato base;2021M06;1.093
Total;Gasto medio por persona;Dato base;2021M05;1.024
Total;Gasto medio por persona;Dato base;2021M04;1.062
Total;Gasto medio por persona;Dato base;2021M03;1.107
Total;Gasto medio por persona;Dato base;2021M02;1.136
Total;Gasto medio por persona;Dato base;2021M01;1.044
Total;Gasto medio por persona;Dato base;2020M12;1.074
Total;Gasto medio por persona;Dato base;2020M11;1.055
Total;Gasto medio por persona;Dato base;2020M10;847
Total;Gasto medio por persona;Dato base;2020M09;847
Total;Gasto medio por persona;Dato base;2020M08;1.007
Total;Gasto medio por persona;Dato base;2020M07;997
