fecha;pais_orig;mun_dest;turistas
2020-01-01;Islandia;Torrevieja;238
2020-01-01;Italia;Torrevieja;246
2020-01-01;Luxemburgo;Torrevieja;71
2020-01-01;Noruega;Torrevieja;2138
2020-01-01;Países Bajos;Torrevieja;949
2020-01-01;Polonia;Torrevieja;638
2020-01-01;Portugal;Torrevieja;39
2020-01-01;Reino Unido;Torrevieja;4099
2020-01-01;Alemania;Torrevieja;1844
2020-01-01;Rumania;Torrevieja;48
2020-01-01;Suecia;Torrevieja;5249
2020-01-01;Suiza;Torrevieja;325
2020-01-01;Ucrania;Torrevieja;286
2020-01-01;Letonia;Torrevieja;68
2020-01-01;Bielorrusia / belarus;Torrevieja;53
2020-01-01;Estonia;Torrevieja;106
2020-01-01;Lituania;Torrevieja;124
2020-01-01;República Checa;Torrevieja;52
2020-01-01;Rusia;Torrevieja;1239
2020-01-01;Argelia;Torrevieja;244
2020-01-01;Marruecos;Torrevieja;121
2020-01-01;Túnez;Torrevieja;36
2020-01-01;EE.UU.;Torrevieja;101
2020-01-01;Colombia;Torrevieja;107
2020-01-01;China;Torrevieja;192
2020-01-01;Kazajstan;Torrevieja;45
2020-02-01;Total;Torrevieja;23893
2020-02-01;Total Europa;Torrevieja;23135
2020-02-01;Total Unión Europea;Torrevieja;13944
2020-02-01;Total África;Torrevieja;330
2020-02-01;Total América;Torrevieja;209
2020-02-01;Total América del Norte;Torrevieja;96
2020-02-01;Total Sudamérica;Torrevieja;111
2020-02-01;Total Asia;Torrevieja;216
2020-02-01;Austria;Torrevieja;82
2020-02-01;Bélgica;Torrevieja;2049
2020-02-01;Bulgaria;Torrevieja;61
2020-02-01;Dinamarca;Torrevieja;546
2020-02-01;Finlandia;Torrevieja;1848
2020-02-01;Francia;Torrevieja;985
2020-02-01;Hungria;Torrevieja;59
2020-02-01;Irlanda;Torrevieja;531
2020-02-01;Islandia;Torrevieja;164
2020-02-01;Italia;Torrevieja;184
2020-02-01;Luxemburgo;Torrevieja;76
2020-02-01;Noruega;Torrevieja;3027
2020-02-01;Países Bajos;Torrevieja;896
2020-02-01;Polonia;Torrevieja;650
2020-02-01;Reino Unido;Torrevieja;4340
2020-02-01;Alemania;Torrevieja;1631
2020-02-01;Rumania;Torrevieja;54
2020-02-01;Suecia;Torrevieja;3926
2020-02-01;Suiza;Torrevieja;266
2020-02-01;Ucrania;Torrevieja;279
2020-02-01;Letonia;Torrevieja;60
2020-02-01;Bielorrusia / belarus;Torrevieja;38
2020-02-01;Estonia;Torrevieja;76
2020-02-01;Lituania;Torrevieja;125
2020-02-01;República Checa;Torrevieja;64
2020-02-01;Rusia;Torrevieja;1064
2020-02-01;Argelia;Torrevieja;192
2020-02-01;Marruecos;Torrevieja;112
2020-02-01;EE.UU.;Torrevieja;76
2020-02-01;Colombia;Torrevieja;55
2020-02-01;China;Torrevieja;149
2020-02-01;Kazajstan;Torrevieja;32
2020-03-01;Total;Torrevieja;22859
2020-03-01;Total Europa;Torrevieja;22332
2020-03-01;Total Unión Europea;Torrevieja;13266
2020-03-01;Total África;Torrevieja;201
2020-03-01;Total América;Torrevieja;216
2020-03-01;Total América del Norte;Torrevieja;98
2020-03-01;Total Sudamérica;Torrevieja;115
2020-03-01;Total Asia;Torrevieja;107
2020-03-01;Austria;Torrevieja;59
2020-03-01;Bélgica;Torrevieja;1751
